#ell ratio std
1.018234e+02 9.997886e-01 5.020660e-03
1.440000e+02 9.995504e-01 7.765911e-03
1.609969e+02 9.993428e-01 4.642267e-03
2.187537e+02 9.989584e-01 4.324356e-03
2.843995e+02 9.983606e-01 4.765901e-03
3.593011e+02 9.976729e-01 4.720005e-03
4.461363e+02 9.968225e-01 5.185094e-03
5.627012e+02 9.955505e-01 4.938486e-03
7.130505e+02 9.936848e-01 5.175504e-03
8.923582e+02 9.912544e-01 5.168870e-03
1.056544e+03 9.887228e-01 6.346158e-03
1.192623e+03 9.866017e-01 6.339592e-03
1.335852e+03 9.842706e-01 6.447781e-03
1.497288e+03 9.815490e-01 6.508853e-03
1.681971e+03 9.784033e-01 6.302891e-03
1.888175e+03 9.745165e-01 6.267270e-03
2.119545e+03 9.702621e-01 6.311848e-03
2.377310e+03 9.651838e-01 6.150832e-03
2.668762e+03 9.587239e-01 6.006723e-03
2.993712e+03 9.519279e-01 5.973002e-03
3.359343e+03 9.440717e-01 5.733662e-03
3.770991e+03 9.352917e-01 5.514310e-03
4.229178e+03 9.254271e-01 5.242962e-03
4.744167e+03 9.152309e-01 5.083878e-03
5.324426e+03 9.043979e-01 4.916191e-03
5.972264e+03 8.933348e-01 4.548117e-03
6.700116e+03 8.824838e-01 4.365286e-03
7.519867e+03 8.718302e-01 4.139203e-03
8.436568e+03 8.615684e-01 3.854200e-03
9.465563e+03 8.522812e-01 3.598654e-03
